Channel Name,Category,URL,Increase,Avg,Difference,Time
imaqtpie, LOL,https://clips.twitch.tv/SourSwissFishBigBrother-R1JIvi6wrtHQOM0t/edit,99,49.18,2.01,2022-04-16 22:24:27.174880
imaqtpie, LOL,https://clips.twitch.tv/MotionlessSassyFoxMau5-D-4HlTY5qMlCqaZv/edit,141,71.64,1.97,2022-04-16 22:29:33.394153
lcs, LOL,https://clips.twitch.tv/OutstandingAmazingMinkNinjaGrumpy-fIMo9_ClOa1HdbtM/edit,1256,635.26,1.98,2022-04-16 22:30:37.551262
mrg2ek, POLITICS,https://clips.twitch.tv/FilthyElegantGarbageShadyLulu-wxNZOFDpcgChgC2Z/edit,13,6.27,2.07,2022-04-16 22:33:38.824212
trihex, META,https://clips.twitch.tv/InnocentMistyVampireGrammarKing-CkgbzzVkAAu_6ROF/edit,28,14.43,1.94,2022-04-16 22:34:11.427512
lcs, LOL,https://clips.twitch.tv/RealBreakableKeyboard4Head-cn9bjJGr7Jt9SwRB/edit,1457,752.6,1.94,2022-04-16 22:35:55.324037
payo, WOW,https://clips.twitch.tv/JazzyWanderingIcecreamJonCarnage-KWj9BwsOJkS6FVUr/edit,195,97.3,2.0,2022-04-16 22:38:44.146186
mrg2ek, POLITICS,https://clips.twitch.tv/PiliableCrackyGoatOMGScoots-LfiJW0twTiv4DdI1/edit,12,6.3,1.9,2022-04-16 22:43:02.806679
trihex, META,https://clips.twitch.tv/GlamorousThankfulGalagoRuleFive-ysRyK2ltcUMFHVtN/edit,46,23.65,1.95,2022-04-16 23:27:23.829641
cowsep, LOL,https://clips.twitch.tv/BadNeighborlyShallotPrimeMe-O0yUQdU9bNX58QxS/edit,70,35.48,1.97,2022-04-16 23:27:52.296287
codemiko, META,https://clips.twitch.tv/SpotlessSourOxHassanChop-FSr6ZYgSyadVZQrp/edit,385,201.61,1.91,2022-04-16 23:43:33.139700
knut, META,https://clips.twitch.tv/BlatantCuriousBottleSmoocherZ-FrdAFdGyMk1Jhmrt/edit,91,44.42,2.05,2022-04-16 23:47:28.339571
iwdominate, LOL,https://clips.twitch.tv/SincereScrumptiousSoymilkCharlieBitMe-uev69qAsirDDu4Le/edit,558,293.23,1.9,2022-04-16 23:48:27.480477
iwdominate, LOL,https://clips.twitch.tv/EphemeralSpoopyMartenBigBrother--GtQexVX5-GluZ6d/edit,808,368.36,2.19,2022-04-16 23:53:33.942176
